province,year,manslaughter,theft,scam
Ourense,2015,1,408,174
Asturias,2015,4,1897,765
Palencia,2015,1,262,103
Las Palmas,2015,14,3302,983
Pontevedra,2015,12,1893,735
Salamanca,2015,2,864,197
Santa Cruz de Tenerife,2015,6,2703,651
Cantabria,2015,4,1238,385
Segovia,2015,0,235,121
Sevilla,2015,15,5049,1375
Soria,2015,1,104,69
Teruel,2015,1,103,77
Valencia,2015,2,7393,2215
Bizkaia,2015,0,10,84
Zaragoza,2015,0,2197,645
Melilla,2015,2,283,50
Alava,2016,0,44,27
Albacete,2016,1,964,254
Alicante,2016,12,4965,1771
Almeria,2016,6,1221,537
Avila,2016,1,131,175
Badajoz,2016,6,1198,477
Islas Baleares,2016,8,3468,914
Barcelona,2016,0,15871,5332
Burgos,2016,3,659,343
Caceres,2016,1,435,190
Cadiz,2016,9,3529,1176
Castellon,2016,1,1436,477
Ciudad Real,2016,1,914,477
Cordoba,2016,2,1344,638
A Coruña,2016,6,2158,689
Cuenca,2016,0,182,100
Girona,2016,0,1615,747
Granada,2016,4,1849,635
Guadalajara,2016,7,320,190
Gipuzkoa,2016,0,3,53
Huelva,2016,4,1316,375
Huesca,2016,0,271,137
Jaen,2016,1,783,459
Leon,2016,1,886,408
Lleida,2016,0,907,535
La Rioja,2016,0,583,124
Lugo,2016,2,405,208
Madrid,2016,24,22451,5130
Malaga,2016,20,4764,1919
Murcia,2016,12,3122,983
Navarra,2016,1,1245,554
Ourense,2016,1,381,157
Asturias,2016,5,1809,754
Palencia,2016,0,296,131
Las Palmas,2016,10,3301,1125
Pontevedra,2016,2,1700,659
Salamanca,2016,5,930,253
Santa Cruz de Tenerife,2016,9,2607,569
Cantabria,2016,0,1221,436
Segovia,2016,0,138,155
Sevilla,2016,16,4318,1441
Soria,2016,0,103,69
Teruel,2016,0,93,93
Valencia,2016,3,7236,2410
Bizkaia,2016,0,7,94
Zaragoza,2016,0,2191,787
Melilla,2016,4,350,49
Alava,2017,1,8,45
Albacete,2017,3,901,252
Alicante,2017,11,4975,1981
Almeria,2017,5,1341,560
Avila,2017,1,136,128
Badajoz,2017,5,1125,504
Islas Baleares,2017,4,3059,1014
Barcelona,2017,0,16918,5337
Burgos,2017,0,694,343
Caceres,2017,3,370,177
Cadiz,2017,7,3113,1129
Castellon,2017,5,1384,538
Ciudad Real,2017,5,881,325
Cordoba,2017,2,1391,669
A Coruña,2017,8,2217,776
Cuenca,2017,0,168,138
Girona,2017,0,1616,891
Granada,2017,10,2147,684
Guadalajara,2017,0,257,213
Gipuzkoa,2017,0,2,77
Huelva,2017,0,1207,388
Huesca,2017,3,246,136
